Match,Red_Top_WR,Red_Top_Champion_XP,Red_Top_ChampWR,Red_JG_WR,Red_JG_ChampXP,Red_JG_ChampWR,Red_Mid_WR,Red_Mid_ChampXP,Red_Mid_ChampWR,Red_ADC_WR,Red_ADC_ChampXP,Red_ADC_ChampWR,Red_SUP_WR,Red_SUP_ChampXP,Red_SUP_ChampWR,Blue_TOP_WR,Blue_TOP_ChampXP,Blue_TOP_ChampWR,Blue_JG_WR,Blue_JG_ChampxP,Blue_JG_ChampWR,Blue_Mid_WR,Blue_Mid_ChampXP,Blue_Mid_ChampWR,Blue_ADC_WR,Blue_ADC_ChampXP,Blue_ADC_ChampWR,Blue_SUP_WR,Blue_SUP_ChampXP,Blue_SUP_ChampWR,Winning_Team
1,50.51,5+,49.28,52.19,2,47.95,46.43,4,49.03,50,5+,50.77,57.89,3,52.96,54.17,3,46.08,51.61,5+,51.55,50,5+,49.91,51.66,5+,49.5,53.11,5+,49.92,Red
2,50.72,5+,50.85,53.88,5+,54.51,57.89,5+,51.31,51.81,5+,49.75,51.12,5+,50.6,51.76,4,42.94,53.74,5+,53.98,51.72,2,49.8,56.44,5+,48.78,49.6,5+,49.72,Red
3,51.46,5+,54.34,58.3,5+,46.81,52.02,5+,49.5,65.34,5+,49.7,48.15,5+,47.03,60.81,5+,52.7,51.49,4,46.84,56.52,5+,53.22,53.7,5+,49.8,57.89,5+,53.06,Blue
4,55.26,5+,52.39,50.85,5+,49,63.25,3,52.32,50.54,5+,50.66,50.19,2,49.72,54.27,5+,52.57,52.52,3,52.26,50.98,2,49.15,57.98,5+,49.7,57.89,5+,53.06,Blue
5,45.9,5+,49.7,55.45,5+,54.36,51.96,5+,51.45,51.43,5+,48.78,55.41,1,50.09,52.73,5+,50.13,50,5+,49,57.89,5+,51.31,52.54,5+,49.59,51,5+,50.94,Red
